hits,quarter,term,year
0,1,shell shock,1993
2,2,shell shock,1993
1,3,shell shock,1993
2,4,shell shock,1993
1,1,shell shock,1994
2,2,shell shock,1994
0,3,shell shock,1994
0,4,shell shock,1994
1,1,shell shock,1995
1,2,shell shock,1995
0,3,shell shock,1995
3,4,shell shock,1995
1,1,shell shock,1996
0,2,shell shock,1996
1,3,shell shock,1996
1,4,shell shock,1996
1,1,shell shock,1997
0,2,shell shock,1997
1,3,shell shock,1997
3,4,shell shock,1997
0,1,shell shock,1998
0,2,shell shock,1998
3,3,shell shock,1998
2,4,shell shock,1998
2,1,shell shock,1999
2,2,shell shock,1999
0,3,shell shock,1999
3,4,shell shock,1999
1,1,shell shock,2000
0,2,shell shock,2000
0,3,shell shock,2000
3,4,shell shock,2000
3,1,shell shock,2001
1,2,shell shock,2001
1,3,shell shock,2001
3,4,shell shock,2001
3,1,shell shock,2002
1,2,shell shock,2002
1,3,shell shock,2002
2,4,shell shock,2002
1,1,shell shock,2003
1,2,shell shock,2003
1,3,shell shock,2003
1,4,shell shock,2003
0,1,shell shock,2004
1,2,shell shock,2004
3,3,shell shock,2004
2,4,shell shock,2004
0,1,shell shock,2005
2,2,shell shock,2005
1,3,shell shock,2005
2,4,shell shock,2005
2,1,shell shock,2006
0,2,shell shock,2006
5,3,shell shock,2006
1,4,shell shock,2006
1,1,shell shock,2007
1,2,shell shock,2007
0,3,shell shock,2007
2,4,shell shock,2007
4,1,shell shock,2008
3,2,shell shock,2008
2,3,shell shock,2008
4,4,shell shock,2008
2,1,shell shock,2009
1,2,shell shock,2009
2,3,shell shock,2009
3,4,shell shock,2009
2,1,shell shock,2010
0,2,shell shock,2010
0,3,shell shock,2010
1,4,shell shock,2010
1,1,shell shock,2011
1,2,shell shock,2011
1,3,shell shock,2011
1,4,shell shock,2011
2,1,shell shock,2012
4,2,shell shock,2012
2,3,shell shock,2012
2,4,shell shock,2012
1,1,shell shock,2013
1,2,shell shock,2013
3,3,shell shock,2013
1,4,shell shock,2013
4,1,shell shock,2014
5,2,shell shock,2014
8,3,shell shock,2014
5,4,shell shock,2014
2,1,shell shock,2015
1,2,shell shock,2015
3,3,shell shock,2015
1,4,shell shock,2015
3,1,shell shock,2016
2,2,shell shock,2016
1,3,shell shock,2016
2,4,shell shock,2016
