hits,quarter,term,year
0,4,bulimia,1955
0,1,bulimia,1956
0,2,bulimia,1956
0,3,bulimia,1956
0,4,bulimia,1956
0,1,bulimia,1957
0,2,bulimia,1957
0,3,bulimia,1957
0,4,bulimia,1957
0,1,bulimia,1958
0,2,bulimia,1958
0,3,bulimia,1958
0,4,bulimia,1958
0,1,bulimia,1959
0,2,bulimia,1959
0,3,bulimia,1959
0,4,bulimia,1959
0,1,bulimia,1960
1,2,bulimia,1960
1,3,bulimia,1960
0,4,bulimia,1960
0,1,bulimia,1961
0,2,bulimia,1961
0,3,bulimia,1961
0,4,bulimia,1961
0,1,bulimia,1962
0,2,bulimia,1962
0,3,bulimia,1962
0,4,bulimia,1962
0,1,bulimia,1963
0,2,bulimia,1963
0,3,bulimia,1963
0,4,bulimia,1963
0,1,bulimia,1964
0,2,bulimia,1964
0,3,bulimia,1964
0,4,bulimia,1964
0,1,bulimia,1965
0,2,bulimia,1965
0,3,bulimia,1965
0,4,bulimia,1965
0,1,bulimia,1966
0,2,bulimia,1966
0,3,bulimia,1966
0,4,bulimia,1966
0,1,bulimia,1967
0,2,bulimia,1967
0,3,bulimia,1967
0,4,bulimia,1967
0,1,bulimia,1968
0,2,bulimia,1968
0,3,bulimia,1968
0,4,bulimia,1968
0,1,bulimia,1969
0,2,bulimia,1969
0,3,bulimia,1969
0,4,bulimia,1969
0,1,bulimia,1970
0,2,bulimia,1970
0,3,bulimia,1970
0,4,bulimia,1970
0,1,bulimia,1971
0,2,bulimia,1971
0,3,bulimia,1971
0,4,bulimia,1971
0,1,bulimia,1972
0,2,bulimia,1972
0,3,bulimia,1972
0,4,bulimia,1972
0,1,bulimia,1973
0,2,bulimia,1973
0,3,bulimia,1973
0,4,bulimia,1973
1,1,bulimia,1974
0,2,bulimia,1974
0,3,bulimia,1974
0,4,bulimia,1974
0,1,bulimia,1975
0,2,bulimia,1975
0,3,bulimia,1975
0,4,bulimia,1975
1,1,bulimia,1976
0,2,bulimia,1976
0,3,bulimia,1976
0,4,bulimia,1976
0,1,bulimia,1977
0,2,bulimia,1977
0,3,bulimia,1977
0,4,bulimia,1977
0,1,bulimia,1978
0,2,bulimia,1978
0,3,bulimia,1978
0,4,bulimia,1978
0,1,bulimia,1979
1,2,bulimia,1979
0,3,bulimia,1979
0,4,bulimia,1979
0,1,bulimia,1980
0,2,bulimia,1980
0,3,bulimia,1980
0,4,bulimia,1980
0,1,bulimia,1981
0,2,bulimia,1981
0,3,bulimia,1981
3,4,bulimia,1981
0,1,bulimia,1982
0,2,bulimia,1982
0,3,bulimia,1982
0,4,bulimia,1982
2,1,bulimia,1983
2,2,bulimia,1983
3,3,bulimia,1983
1,4,bulimia,1983
1,1,bulimia,1984
0,2,bulimia,1984
1,3,bulimia,1984
1,4,bulimia,1984
8,1,bulimia,1985
1,2,bulimia,1985
4,3,bulimia,1985
1,4,bulimia,1985
4,1,bulimia,1986
1,2,bulimia,1986
2,3,bulimia,1986
3,4,bulimia,1986
2,1,bulimia,1987
2,2,bulimia,1987
5,3,bulimia,1987
3,4,bulimia,1987
7,1,bulimia,1988
9,2,bulimia,1988
5,3,bulimia,1988
2,4,bulimia,1988
4,1,bulimia,1989
1,2,bulimia,1989
3,3,bulimia,1989
5,4,bulimia,1989
6,1,bulimia,1990
3,2,bulimia,1990
3,3,bulimia,1990
2,4,bulimia,1990
3,1,bulimia,1991
6,2,bulimia,1991
4,3,bulimia,1991
2,4,bulimia,1991
7,1,bulimia,1992
6,2,bulimia,1992
4,3,bulimia,1992
9,4,bulimia,1992
5,1,bulimia,1993
6,2,bulimia,1993
4,3,bulimia,1993
8,4,bulimia,1993
2,1,bulimia,1994
9,2,bulimia,1994
6,3,bulimia,1994
5,4,bulimia,1994
3,1,bulimia,1995
2,2,bulimia,1995
3,3,bulimia,1995
13,4,bulimia,1995
5,1,bulimia,1996
6,2,bulimia,1996
11,3,bulimia,1996
5,4,bulimia,1996
8,1,bulimia,1997
6,2,bulimia,1997
21,3,bulimia,1997
5,4,bulimia,1997
6,1,bulimia,1998
8,2,bulimia,1998
2,3,bulimia,1998
5,4,bulimia,1998
11,1,bulimia,1999
10,2,bulimia,1999
8,3,bulimia,1999
4,4,bulimia,1999
8,1,bulimia,2000
11,2,bulimia,2000
12,3,bulimia,2000
9,4,bulimia,2000
4,1,bulimia,2001
5,2,bulimia,2001
2,3,bulimia,2001
5,4,bulimia,2001
4,1,bulimia,2002
2,2,bulimia,2002
3,3,bulimia,2002
4,4,bulimia,2002
5,1,bulimia,2003
5,2,bulimia,2003
3,3,bulimia,2003
7,4,bulimia,2003
6,1,bulimia,2004
7,2,bulimia,2004
8,3,bulimia,2004
5,4,bulimia,2004
8,1,bulimia,2005
9,2,bulimia,2005
4,3,bulimia,2005
4,4,bulimia,2005
9,1,bulimia,2006
11,2,bulimia,2006
11,3,bulimia,2006
6,4,bulimia,2006
11,1,bulimia,2007
3,2,bulimia,2007
5,3,bulimia,2007
7,4,bulimia,2007
5,1,bulimia,2008
12,2,bulimia,2008
6,3,bulimia,2008
4,4,bulimia,2008
3,1,bulimia,2009
2,2,bulimia,2009
23,3,bulimia,2009
4,4,bulimia,2009
6,1,bulimia,2010
13,2,bulimia,2010
5,3,bulimia,2010
7,4,bulimia,2010
9,1,bulimia,2011
5,2,bulimia,2011
4,3,bulimia,2011
9,4,bulimia,2011
6,1,bulimia,2012
3,2,bulimia,2012
2,3,bulimia,2012
5,4,bulimia,2012
5,1,bulimia,2013
19,2,bulimia,2013
4,3,bulimia,2013
5,4,bulimia,2013
2,1,bulimia,2014
4,2,bulimia,2014
8,3,bulimia,2014
6,4,bulimia,2014
5,1,bulimia,2015
9,2,bulimia,2015
7,3,bulimia,2015
4,4,bulimia,2015
10,1,bulimia,2016
5,2,bulimia,2016
5,3,bulimia,2016
5,4,bulimia,2016
