hits,quarter,term,year
480,2,cancer,1992
506,3,cancer,1992
552,4,cancer,1992
568,1,cancer,1993
491,2,cancer,1993
500,3,cancer,1993
518,4,cancer,1993
550,1,cancer,1994
633,2,cancer,1994
508,3,cancer,1994
487,4,cancer,1994
462,1,cancer,1995
485,2,cancer,1995
471,3,cancer,1995
486,4,cancer,1995
461,1,cancer,1996
516,2,cancer,1996
460,3,cancer,1996
549,4,cancer,1996
724,1,cancer,1997
808,2,cancer,1997
676,3,cancer,1997
730,4,cancer,1997
647,1,cancer,1998
782,2,cancer,1998
688,3,cancer,1998
810,4,cancer,1998
807,1,cancer,1999
712,2,cancer,1999
745,3,cancer,1999
858,4,cancer,1999
784,1,cancer,2000
879,2,cancer,2000
799,3,cancer,2000
800,4,cancer,2000
688,1,cancer,2001
796,2,cancer,2001
731,3,cancer,2001
749,4,cancer,2001
715,1,cancer,2002
838,2,cancer,2002
764,3,cancer,2002
837,4,cancer,2002
751,1,cancer,2003
673,2,cancer,2003
659,3,cancer,2003
706,4,cancer,2003
703,1,cancer,2004
641,2,cancer,2004
683,3,cancer,2004
778,4,cancer,2004
669,1,cancer,2005
740,2,cancer,2005
681,3,cancer,2005
737,4,cancer,2005
744,1,cancer,2006
890,2,cancer,2006
899,3,cancer,2006
1018,4,cancer,2006
1029,1,cancer,2007
1014,2,cancer,2007
986,3,cancer,2007
1092,4,cancer,2007
1018,1,cancer,2008
964,2,cancer,2008
1095,3,cancer,2008
1037,4,cancer,2008
1147,1,cancer,2009
1131,2,cancer,2009
1220,3,cancer,2009
1154,4,cancer,2009
981,1,cancer,2010
1058,2,cancer,2010
1000,3,cancer,2010
1051,4,cancer,2010
1016,1,cancer,2011
976,2,cancer,2011
1057,3,cancer,2011
1303,4,cancer,2011
1122,1,cancer,2012
1116,2,cancer,2012
1023,3,cancer,2012
732,4,cancer,2012
778,1,cancer,2013
886,2,cancer,2013
1091,3,cancer,2013
787,4,cancer,2013
1412,1,cancer,2014
1531,2,cancer,2014
1333,3,cancer,2014
1316,4,cancer,2014
1378,1,cancer,2015
1349,2,cancer,2015
1448,3,cancer,2015
1479,4,cancer,2015
1513,1,cancer,2016
1443,2,cancer,2016
1238,3,cancer,2016
979,4,cancer,2016
